Taxonomy,36_1,37_1,41_1,49_1,38_1,28_1,4_1,15_1,13_1
Actinobacteria;Micrococcales;Microbacteriaceae;Galbitalea;uncultured,1,0,0,0,0,0,0,2,0
Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus,1,0,0,0,0,0,0,0,0
Actinobacteria;Micrococcales;Micrococcaceae;Rothia;uncultured,2,3,0,3,0,9,0,10,2
Actinobacteria;Micrococcales;Promicromonosporaceae;uncultured;uncultured,1,0,0,0,0,0,0,0,0
Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora,4,0,0,1,0,1,1,2,0
Actinobacteria;PeM15;metagenome,1,0,0,0,0,0,0,0,0
Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces,8,1,1,0,0,4,0,0,0
Atribacteria;JS1;terrestrial,1,1,0,2,0,1,2,15,0
Bacteroidetes,2,0,8,2,2,2,9,1,0
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides,636,1343,2043,835,1274,510,1664,387,910
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;bacterium,181,199,413,92,145,21,246,64,347
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;gut,188,139,115,65,923,49,546,85,256
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;metagenome,69,258,388,90,133,49,53,42,60
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured,2285,5357,8760,2902,4471,972,4936,1578,3959
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unidentified,65,134,89,156,82,18,179,33,104
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales,12,9,28,10,17,12,15,8,15
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella,3,18,41,11,11,12,19,7,16
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;uncultured,5,2,3,3,0,1,0,3,0
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;uncultured,1,0,0,0,0,4,0,2,0
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Candidatus,1,0,2,0,0,3,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;uncultured,1,1,0,4,0,4,5,1,2
Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;uncultured;uncultured,1,1,0,1,0,0,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;uncultured,7,0,49,40,53,36,22,18,41
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;uncultured,1,0,0,0,0,2,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;gut,4,0,0,39,0,26,1,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured,18,6,69,47,3,725,6,15,2
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas,2,0,1,6,0,2,3,3,1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Prevotella,1,0,0,0,0,0,0,1,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;gut,3,0,0,0,0,2,0,1,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;uncultured,58,50,138,45,85,35,32,27,24
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella,14,0,0,0,0,4,0,12,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;gut,11,0,0,0,0,27,0,11,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;uncultured,265,0,0,0,0,69,0,290,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,53,141,159,51,66,12316,102,307,59
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella,3,1,2,3,5,135,0,10,3
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured,2,0,1,2,0,133,3,8,1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae,25,4,10,3,6,39,13,26,1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;Prevotella,2,1,1,0,3,36,1,24,1
Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;uncultured,1,0,1,0,0,27,0,2,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32;uncultured,1,0,1,2,0,3,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured;metagenome,1,1,3,3,2,1,0,1,3
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes,1,14,15,57,8,15,331,21,73
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;gut,5,35,15,191,38,10,31,50,142
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured,32,137,78,922,76,167,1157,363,833
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;uncultured,1,0,0,0,0,0,1,0,1
Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae,20,14,31,10,9,442,26,617,8
Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;metagenome,1,1,2,0,1,4,1,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;uncultured,9,6,10,5,9,0,10,3,6
Bacteroidetes;Bacteroidia;Bacteroidales;Salinivirgaceae;uncultured;uncultured,1,0,0,0,0,0,1,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Candidatus,1,0,2,0,0,0,0,1,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;uncultured,4,1,12,2,0,2,1,3,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Bacteroides,1,0,5,0,0,2,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Blattella,14,13,88,7,2,16,7,4,8
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides,142,127,387,71,0,95,121,27,58
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;gut,265,221,679,84,1,172,161,47,113
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;metagenome,1,5,0,0,0,0,0,5,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;swine,1,0,2,0,0,0,0,0,0
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured,308,225,1361,88,1,254,102,73,77
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella,12,12,32,15,0,39,6,2,12
Bacteroidetes;Bacteroidia;Bacteroidales;uncultured;uncultured,19,21,40,14,3,0,29,13,40
Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna;uncultured,1,0,0,0,0,0,0,0,0
Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;uncultured;uncultured,1,0,3,0,1,0,0,0,0
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium,1,1,6,3,4,5,1,2,2
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutibacter;Lutibacter,2,2,2,7,0,4,1,4,9
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroflexus;uncultured,1,0,5,2,2,0,4,1,2
Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;hydrothermal,1,0,0,0,0,0,0,0,0
Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured,1,1,5,1,0,1,0,1,1
Chloroflexi;Anaerolineae;SBR1031;uncultured,1,0,1,1,0,0,0,0,0
Cyanobacteria;Oxyphotobacteria;Chloroplast;Grateloupia,1,0,1,0,0,0,0,0,0
Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae;Nodosilinea,1,3,2,0,1,0,3,4,2
Firmicutes,29,31,10,11,27,3,20,22,9
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus,4,1,1,4,0,4,5,8,2
Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;bacterium,2,4,3,0,1,3,1,2,2
Firmicutes;Bacilli;Bacillales;Family,1,0,1,0,0,2,1,0,2
Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;Brochothrix,1,0,0,0,0,0,0,1,0
Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria,2,1,6,0,2,3,0,1,1
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniphilus;uncultured,1,1,1,0,2,0,0,1,0
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Bacillus,11,5,3,3,1,3,5,19,2
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus,5,9,4,5,9,3,6,22,5
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Streptococcus,1,1,0,3,0,1,0,5,2
Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus;uncultured,3,2,0,0,8,1,0,2,7
Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina;Bacillus,1,0,0,0,0,0,1,0,0
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;S31;Staphylococcaceae,20,10,10,2,9,2,9,15,2
Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus,8,5,1,2,2,3,2,5,0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus,2,4,0,0,0,1,1,4,0
Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;uncultured,1,0,0,0,0,2,1,1,0
Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus,1,4,0,0,1,10,5,2,1
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus,2,2,7,5,9,11,21,3,1
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;uncultured,1,0,1,0,0,0,19,2,0
Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostoc,1,0,0,0,0,0,1,0,0
Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;Leuconostocaceae,4,1,1,0,2,0,0,0,0
Firmicutes;Bacilli;Lactobacillales;P5D1-392;uncultured,2,0,0,0,0,1,0,0,0
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus,5,3,3,0,4,0,3,2,0
